current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.08679979249987857,57.748117070103774,39915.42623684478
02/2016,-0.8687195132172102,388.71303379052324,45433.34468646843
03/2016,-2.2145865602133394,431.49915908883014,42268.721481712426
04/2016,-3.4090881181829618,591.7169245196714,27877.244190843823
05/2016,2.5676205114776978,594.7003105991166,17325.48932193221
06/2016,36.6443769180782,358.71907847148674,10447.217407841303
07/2016,50.88643016651409,393.9942520395473,6401.73561618979
08/2016,52.478266428445025,456.9473298908981,4206.316252965485
09/2016,51.274165250879214,464.27668410881887,4839.346843124832
10/2016,68.92910192036602,279.20587769792485,18260.905268767605
11/2016,105.55219925877711,323.630777837487,31917.021601760902
12/2016,108.51918269036604,440.40062803057623,43716.72292210587
01/2017,108.44467892284933,492.2494664194076,42335.39414925052
02/2017,98.25922398419867,269.3193145332598,43137.345569305675
03/2017,110.17294563309846,215.532845196326,40155.8913897504
04/2017,107.40605865828996,340.61334398637416,26278.076009595112
05/2017,113.51760909260194,353.27388283045985,16453.24307529375
06/2017,110.21342966254423,409.40182256451766,9701.120757713423
07/2017,116.3960130614474,290.8806527754789,6143.6708579116785
08/2017,139.79628247610628,210.8492823357509,4349.792676886392
09/2017,143.13402070762243,327.5983350591322,6950.909854093252
10/2017,155.1594953513701,527.320256631215,20442.062009418958
11/2017,150.49401436334873,376.7306070482834,34003.472175892864
12/2017,155.33255107568894,269.6662621257653,43341.28445659128
01/2018,156.65759855085184,288.78780093476433,43748.594501348176
02/2018,141.09722903013426,241.85182934249065,42110.45563945847
03/2018,156.4001149815872,332.3228042635256,37935.75669783215
04/2018,150.1887541132185,315.3502334754541,24490.146558613615
05/2018,195.13430429397292,311.7084517456575,15390.219772216575
06/2018,197.64872030802897,376.35329142361127,9016.276458873654
07/2018,206.70535736854595,400.63181959922713,5672.944281989185
08/2018,210.47950155712195,413.7957811920478,4110.728277454897
09/2018,206.9298505872052,255.7033820490087,9019.224439641246
10/2018,285.1154937033179,302.0327382559657,23065.14131229451
11/2018,279.2859689146356,221.07787824532355,36242.416352963206
12/2018,288.12930667193154,405.5020687458188,42675.166574014525
01/2019,289.3266474954246,331.04557795679546,44951.36572010447
02/2019,262.12132388139656,166.58037277027736,41134.54236902315
03/2019,291.75799572681535,222.28641166858543,35913.32347514247
04/2019,280.5884639341214,288.20688346919957,22700.080728351164
05/2019,294.1825442960218,352.0124695095918,14258.938739702051
06/2019,284.0106469667526,436.64563057190196,8266.37957521204
07/2019,334.9507794822483,281.00181950756803,5431.038524016308
08/2019,347.89084933726963,247.0756302805668,4027.773311039644
01/2016,7.031730752761428,152.8349590304816,39972.83887034052
02/2016,5.694934103777757,306.66234470349053,45510.86007791138
03/2016,5.142955886532804,388.741088298868,42312.17082966104
04/2016,4.047195401013416,386.8778764315161,28072.423858913713
05/2016,11.531633310508077,286.55607948861905,17611.702437648248
06/2016,11.230057720358086,343.9687619618462,10464.924919339403
07/2016,9.796714367623547,479.07676949610624,6321.976138415547
08/2016,13.330032277386287,222.293246193453,4440.007545514758
09/2016,52.55296979916492,241.338020487504,5028.536955559044
10/2016,74.90446315271971,354.6402811187559,18193.189486915777
11/2016,71.70998223652639,352.4060309044399,31892.6081349445
12/2016,73.29597986712008,395.4174237453065,43765.172494162296
01/2017,75.19405974724798,281.862153572115,42530.46256980917
02/2017,68.30356995134738,219.40962379647146,43181.51885094566
03/2017,74.94310222871174,354.32384896663126,40030.01038216724
04/2017,71.84622579469517,378.04986364995693,26243.053092616934
05/2017,82.0658390343134,353.7866749829918,16454.740344437123
06/2017,98.65711179293763,219.45428842903925,9868.703548952199
07/2017,102.69631158778964,260.3281447600793,6165.230066020933
08/2017,100.70733072685044,451.7333993341447,4131.643935236491
09/2017,96.94145754142677,238.64965992719215,7046.268576387076
10/2017,117.14778587944404,198.0238233305804,20744.442926224103
11/2017,136.9631626333023,198.2225553232029,34159.342185828595
12/2017,140.573118692768,242.88718894571008,43361.63065723016
01/2018,140.0440644605215,286.8012445332226,43753.82635624787
02/2018,126.90685146938175,139.95720296561896,42205.70226214668
03/2018,142.4138137404802,111.49252676850803,38134.763378846816
04/2018,137.81336635793343,175.96382068214987,24618.48743830393
05/2018,139.105040390443,307.6789643168095,15396.323293844129
06/2018,131.45426231571696,371.6983500028836,9022.266722724738
07/2018,141.455260421097,326.4025306688484,5754.312817188654
08/2018,163.3852538658545,143.80264826949377,4342.915805467762
09/2018,171.55777138812454,331.68549968476094,8939.682579645712
10/2018,176.4722794849187,331.3951232929309,23042.299209937068
11/2018,170.00174276289457,242.04342886835053,36230.40292066247
12/2018,175.98189640322428,274.219898066972,42795.959700775464
01/2019,177.77882177536196,268.7370679689382,45002.3353314227
02/2019,159.9614680772785,264.9517230409149,41040.798575728775
03/2019,176.42167254731206,263.79465800839785,35881.60929734891
04/2019,171.00711301347846,298.94262738036076,22689.99156326072
05/2019,209.65117741947293,214.80777665293564,14383.666070267867
06/2019,210.04879093254246,261.9009582775153,8420.794888124201
07/2019,215.09372444554572,350.76109905317526,5358.481593669053
08/2019,206.43729735999835,360.60364888612065,3937.5561389108543
01/2016,6.763963360939564,95.17980335401624,40027.265453831526
02/2016,4.943713242047712,158.13922034409356,45652.808710708596
03/2016,3.8051398206246283,185.9907728652024,42501.00919094754
04/2016,2.226404196084023,224.7751206983845,28223.119834900528
05/2016,20.511477991578406,275.02407395055076,17616.34554119115
06/2016,27.112091022638324,416.6890944259928,10398.713052569965
07/2016,26.058253882309202,572.6158370269873,6234.833688359111
