current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.12223253430736801,85.7270757438888,39885.4664639632
02/2016,-0.6829259744720392,436.0954040449943,45390.49054133087
03/2016,-1.4414849218973875,476.66656987605063,42223.15143392088
04/2016,-2.0957664316017808,653.7537822975265,27820.451147591317
05/2016,6.1423906351392885,652.5610394221279,17278.3283686462
06/2016,42.85242280982213,389.6982620904198,10427.044522355789
07/2016,47.430860833838366,509.37374231553054,6293.122391638754
08/2016,45.25757026446435,603.3856641475188,4069.97381431518
09/2016,44.519673521430754,494.5351868693571,4809.6342971147305
10/2016,64.4329959418736,249.1624800386389,18284.684124665506
11/2016,104.9917510115264,310.00636143727746,31929.87687453861
12/2016,107.70439723597056,479.17453753557663,43680.29979702356
01/2017,106.87653070893636,571.952113416965,42264.1754064556
02/2017,96.87157056947507,307.08350165610904,43106.367016375174
03/2017,109.11205135400627,203.0035885864582,40167.23217931038
04/2017,107.7696816192104,333.35833077490514,26285.989120715494
05/2017,108.98914489937405,390.5670602498722,16416.72794521612
06/2017,103.24436068287396,475.3199941814398,9641.534828977698
07/2017,110.72475702215758,283.71756667061607,6146.183562675076
08/2017,143.87795795277958,149.00652754259121,4408.70634547281
09/2017,150.43649049476937,398.7015350259398,6884.302710623155
10/2017,154.6460937912724,628.2105705752145,20347.88154288287
11/2017,148.87814706386405,437.6532885706147,33948.672269682706
12/2017,154.04261798161397,272.7415114399364,43340.35360362865
01/2018,155.58434448501777,315.8081666088255,43724.01610752207
02/2018,139.93949943547318,296.3474525083281,42057.215288976055
03/2018,154.28143513598056,402.12307722457626,37870.52314428457
04/2018,148.65263275057254,366.24797887300804,24444.061268462352
05/2018,211.08168241826925,303.023522459466,15409.275134277323
06/2018,212.7748983370128,380.5861225535927,9014.295641846038
07/2018,217.85998563281797,469.5778151979987,5605.126237605299
08/2018,216.37398391866097,490.8477830505082,4040.8367670039215
09/2018,211.9719119703214,224.36891804836867,9041.15142420678
10/2018,317.9532512485114,300.7070724830738,23066.19451337104
11/2018,307.9645666757875,226.12348049844252,36237.654555052555
12/2018,317.3524913264991,465.36040716215354,42622.54148217173
01/2019,318.2285541983803,388.48582896530377,44905.345254502936
02/2019,288.4534255192062,153.74770491922774,41143.13793483159
03/2019,322.88438799720615,216.87665968082183,35919.015139970084
04/2019,309.15224971734204,288.23637925494535,22699.26239193276
05/2019,315.96348956999157,407.5536056903658,14204.622830932944
06/2019,304.7452668807752,494.20175445374866,8216.341971934402
07/2019,376.046555732784,202.66059538006294,5497.053408925281
08/2019,394.56931875199314,219.72581733302854,4048.7339922317374
01/2016,6.552289111505556,165.58721404785422,39961.6304214856
02/2016,5.390195856158963,335.37842414593337,45482.51866104832
03/2016,4.970792555977548,427.3273740673486,42274.61196809642
04/2016,4.031692811705256,418.8327503474548,28042.22519182418
05/2016,8.479459251169876,288.9559535071636,17611.339140952026
06/2016,6.2650336617734315,329.76847471935145,10478.906522505118
07/2016,4.646040772223525,460.6178192079411,6340.297962907829
08/2016,8.216192965480925,197.62345882307895,4455.253733871909
09/2016,53.69985903933802,241.02872525999229,5026.008590400788
10/2016,72.34483548019206,343.93531528874524,18203.045892172922
11/2016,69.23296672832812,344.98819354153954,31899.195220633173
12/2016,70.73650230108888,371.2517340269113,43787.45075671066
01/2017,72.90120939464242,262.6419599781314,42548.05365795837
02/2017,66.03032654059638,210.3697132352028,43189.66202329744
03/2017,72.45383059858439,341.39994668047126,40039.216483571516
04/2017,69.4648181060588,365.1839300180073,26256.70321739134
05/2017,81.96398946727878,327.8971716807473,16483.92967619723
06/2017,99.10145025785549,211.54936168292008,9876.963882238091
07/2017,102.4026791783476,250.26523548332818,6175.427095286163
08/2017,100.36285572568116,440.1326341273525,4145.266152860686
09/2017,96.63112303497988,213.25108101730677,7063.386728227481
10/2017,120.58441394297185,195.8246157378182,20742.79560537098
11/2017,138.27213300458942,191.29690082365408,34165.457507760315
12/2017,141.89768851334273,232.75652602088152,43371.874900860304
01/2018,141.31409038989452,280.90104409329047,43761.73655613492
02/2018,127.93488109892817,145.50267823118028,42200.79757279993
03/2018,144.2086639068152,116.98573343069707,38128.5201151709
04/2018,139.35670174767057,167.69193169545017,24626.481695211187
05/2018,140.50861746629653,293.6920598318154,15408.611959453767
06/2018,132.59503520214645,358.7099934553916,9033.047138770982
07/2018,144.5506171976049,313.20297710108457,5763.624263365336
08/2018,168.81451383618483,118.57353903134289,4360.418315640028
09/2018,176.80790371750766,312.9735083946074,8957.291879235636
10/2018,181.89753231095227,309.4059795196923,23062.944140533647
11/2018,175.25208728589092,230.55533298833186,36240.5012821692
12/2018,181.23540253772532,268.91075950879633,42800.189102489705
01/2019,183.2188412712864,254.63982369697362,45015.66612320903
02/2019,164.8999321220315,250.38135560409586,41053.18134106534
03/2019,181.9168165704815,248.40739271955036,35895.01217312118
04/2019,175.39715345797376,286.7098127112787,22701.52132167199
05/2019,215.41444442297532,207.95036823041764,14396.01081866005
06/2019,216.6153328722895,249.08615109174553,8433.242785835959
07/2019,221.829159756355,330.48991971497696,5379.211094344069
08/2019,212.87064075003,357.23531427307745,3938.8364424708975
01/2016,6.17399949290565,93.4125757084689,40024.91203222452
02/2016,4.328836105892801,156.1360429460938,45648.32483209502
03/2016,3.0805319312392943,183.51810784591433,42495.62561798053
04/2016,1.4589196081620868,222.046874381031,28216.654046776723
05/2016,20.556901172628812,271.68950607818005,17617.106433079924
06/2016,27.522675588957974,411.69136014909986,10404.74801539111
07/2016,26.432486148671078,565.7523068174164,6244.507748047259
08/2016,28.444853680994754,344.38993937073707,4319.874419678427
09/2016,53.283694694484325,240.9609424936131,5029.0704742666
10/2016,93.91494261525352,403.92757857962096,18146.16361262335
11/2016,90.10701556459594,383.7872168046219,31861.875213574403
12/2016,92.30574551443277,513.3137050163484,43658.36766087389
