current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.2237319646359526,94.79153956535657,39877.57499243218
02/2016,-0.8577072168476083,352.083472240775,45468.130441847585
03/2016,-1.7075300107540647,379.8315043820272,42313.08299043077
04/2016,-2.4310348670514443,529.227341010185,27934.402802240314
05/2016,14.06095856908726,460.1886599682943,17456.92228219391
06/2016,40.16644058560379,311.9337629195071,10490.991454531073
07/2016,43.3435681147647,394.7831252770345,6397.529157001884
08/2016,41.56450254706081,487.9243997898498,4178.372125500077
09/2016,41.634357952793934,317.34699298592886,4971.718027764174
10/2016,74.890877294059,227.60636457689492,18304.052032933312
11/2016,103.08988840421723,254.87778224867193,31983.322104176394
12/2016,106.26142042011907,392.4753625226335,43760.30780962542
01/2017,105.86124719859932,389.6117334609453,42432.11365080808
02/2017,96.16726826816384,182.70392222984339,43215.56319361716
03/2017,108.0670744803008,191.6534840675085,40172.89740370575
04/2017,104.49934930330285,283.6363333610242,26333.202295378407
05/2017,105.37356795484335,321.1510302692619,16481.36422940135
06/2017,98.99044623547294,383.9786943068782,9719.918067809873
07/2017,111.39971201574733,261.1448434701115,6172.826759289954
08/2017,141.31278208482718,166.54966932900174,4397.6092683978095
09/2017,153.24209269570505,307.769362218942,6965.816818933612
10/2017,158.5651001862314,484.2457015317741,20478.543759613098
11/2017,152.81265418877658,336.4799677829137,34038.50028972306
12/2017,157.8556701581198,216.0862497602522,43392.01292948951
01/2018,159.18477578832034,241.83701616375959,43792.95381468933
02/2018,143.21898839648466,222.99548742671723,42124.04115993888
03/2018,157.9923991822002,304.2729313103942,37958.74454637425
04/2018,152.18631950701234,279.1371826614634,24523.814399739476
05/2018,204.32121124070522,249.58848925816255,15455.452447340327
06/2018,206.90096433154577,303.5331141419132,9085.120501422061
07/2018,212.29102589128576,361.60430581988936,5704.308006616176
08/2018,211.18259224562374,390.2850426098523,4129.034926778505
09/2018,205.9222996032025,180.41970852747704,9083.9867729043
10/2018,295.5985800245897,230.16897881359836,23132.484897326805
11/2018,288.68077421942047,151.35082919100995,36307.11534537009
12/2018,297.37639206682803,323.13668623604116,42749.56224513966
01/2019,299.25744109868634,238.09600048451966,45032.39595955981
02/2019,270.0798338780852,183.53362297810864,41117.191695992406
03/2019,304.0919384098727,166.51353573712726,35967.9731273309
04/2019,291.0058110361559,225.80861905651372,22756.937604528674
05/2019,296.9858390645684,322.78629897833787,14282.733148592566
06/2019,285.79813848980024,391.2990649395929,8306.673269980185
07/2019,342.3849450336732,196.67443640164365,5508.771201662596
08/2019,357.4749446062167,185.3428115426071,4084.3440080004434
01/2016,5.3338125915292665,177.3231162527679,39947.308702872775
02/2016,4.246833796819573,371.56172649890766,45448.64950434946
03/2016,3.744752235931553,475.2780833422605,42230.51729939052
04/2016,2.8414100634350206,462.2392886979718,28002.953718283807
05/2016,6.585650387354761,318.99200467363323,17583.70844725538
06/2016,4.415884371846664,363.4968898864134,10448.132581601962
07/2016,2.696504342235059,507.6748444741403,6296.733569550954
08/2016,5.5974109262204825,221.33586180776,4435.110886046943
09/2016,45.995054766223134,268.04848569906426,5001.054924713576
10/2016,62.44112346287482,381.1764077609857,18169.30325480289
11/2016,59.64499010161305,384.86111436784194,31861.86404162339
12/2016,60.82503942970834,413.1143416117497,43749.34216323514
01/2017,62.64732691853322,292.0012029088743,42521.26139772908
02/2017,56.68007255744972,236.02190235895017,43166.328906287454
03/2017,62.10284853946838,381.00839218400347,40003.70552352428
04/2017,59.448796841377415,403.64015525706753,26220.4068547076
05/2017,70.42707764424091,361.33774246523103,16453.215487928283
06/2017,85.58683808354255,232.57214957280289,9857.168266933551
07/2017,88.18403884738275,275.8428223396903,6151.890680475941
08/2017,86.12693885243698,484.848291508204,4103.045510553156
09/2017,82.67774624906878,237.52245514034948,7042.879164200589
10/2017,103.70959476653401,217.9441273940283,20722.786474569937
11/2017,119.46904974891649,214.37670598573533,34144.38785421237
12/2017,122.47701526294549,262.13218360696095,43345.13097587746
01/2018,121.93262140423614,299.4663100641523,43743.41076488081
02/2018,110.39223460675262,147.8983937324248,42197.556966758035
03/2018,124.15886375646062,125.36958672727378,38120.20142124014
04/2018,119.22481921997337,188.83857664961985,24606.712024312834
05/2018,119.4787629268837,327.744891906701,15377.785937483079
06/2018,112.0239423741399,397.0353900550609,8997.582305291846
07/2018,121.19194683120227,358.9495454859466,5723.149402153435
08/2018,141.30451217776044,123.07865698417724,4367.354190311795
09/2018,151.45797192442413,102.93547382505996,9144.300709994288
10/2018,155.56023922026534,279.38734976408676,23092.914690461064
11/2018,149.4836967040366,174.0515565435584,36285.51390605108
12/2018,154.89661117015362,269.71018298040025,42800.55150220696
01/2019,155.73651919221766,232.5419412112767,45036.40306738237
02/2019,143.34201157641422,168.49109404718072,41128.61357055303
03/2019,159.41239946066898,198.48280095705078,35940.81513886395
04/2019,150.67016731744937,232.59372095923325,22749.859376289194
05/2019,151.97226118802928,354.8627495842958,14251.268904390134
06/2019,164.73133755231132,306.72463251599567,8390.147932914831
07/2019,216.07029186828765,122.60868603612347,5576.405714632841
08/2019,234.05890554700758,147.83036087474198,4115.116198900732
