produto;uf;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;CV
soja;go;0.84;0.84;0.7725;0.78;0.885;0.9975;0.9225;0.8475;0.855;0.8475;0.84;0.84;0.8325;0.7875;0.735;0.645;0.69;0.705;0.7125;0.675;0.69;0.7125;0.7425;0.7575;0.7425;0.7725;0.8175;0.855;0.8775;0.81;0.855;0.8925;0.945;0.9225;0.9;0.87;0.825;0.84;0.8475;0.825;0.81;0.84;0.8175;0.855;0.094
milho;go;0.39;0.4425;0.45;0.495;0.5475;0.5175;0.4725;0.495;0.45;0.4425;0.4125;0.375;0.3675;0.3675;0.3375;0.27;0.2475;0.24;0.225;0.2325;0.2475;0.27;0.3;0.315;0.315;0.315;0.36;0.3825;0.375;0.345;0.3375;0.375;0.3825;0.3525;0.3375;0.345;0.3525;0.375;0.3975;0.3675;0.3375;0.3525;0.345;0.3375;0.209
algodão;go;3.75;4.1325;4.0275;4.0425;4.1475;4.365;4.29;4.2225;4.1025;4.1775;4.215;4.365;4.56;4.4475;4.485;4.4775;4.47;4.4775;4.23;4.065;4.065;3.975;3.9225;4.0725;4.3875;4.4625;4.605;5.0175;5.5125;5.9775;5.565;5.3025;5.19;5.1;4.8975;4.8525;4.8375;4.8075;4.8;4.875;4.8075;4.695;4.4625;4.2225;0.106
feijão;go;2.58;2.625;2.52;2.8875;3.4575;6.195;4.7175;4.4475;3.915;2.7;2.28;2.0925;1.74;1.5075;1.845;1.68;2.4075;2.6325;1.5975;1.29;1.365;1.2675;1.11;1.0725;1.2075;1.2225;1.14;1.3275;1.335;1.2;1.1925;1.215;1.26;1.2;1.5;1.8525;2.775;4.14;3.72;2.8425;1.92;1.9725;1.755;1.8225;0.524
batata inglesa;df;1.17;0.84;0.81;1.245;1.5675;1.485;1.2075;1.2;0.8475;0.855;0.84;0.75;0.4125;0.4575;0.5025;0.5925;0.7125;0.66;0.66;0.765;0.525;1.14;0.945;0.96;1.0425;0.915;0.825;0.7725;0.9225;0.945;0.6675;0.5325;0.6675;0.8325;1.08;1.41;1.3725;2.085;2.115;2.3175;2.085;2.0325;1.8975;1.5225;0.466
alho;go;8.8125;10.6875;11.25;11.25;11.25;11.25;12.1875;11.88;11.85;10.5;8.625;8.625;8.625;8.0625;7.875;8.5425;9.75;9.75;9.855;9.99;6.1125;5.9625;6.06;5.85;5.4525;5.52;5.9475;5.9625;6.2475;7.0125;7.2375;5.775;5.835;5.5575;5.625;5.91;6.0525;6.6975;6.4125;6.8475;7.65;8.7225;9;9.345;0.264
cebola;df;2.115;1.92;1.7325;1.59;1.965;1.2375;0.795;0.63;0.5925;0.5475;0.795;0.9;0.87;0.78;0.7875;0.99;1.065;0.765;0.885;1.0575;0.885;0.8925;0.93;0.7875;1.065;1.455;1.4025;1.8;2.3625;1.74;0.9;0.7425;0.7275;0.6675;0.885;1.08;1.32;1.245;1.3575;1.44;1.485;1.38;1.845;2.1525;0.399
tomate;df;1.59;1.38;1.2375;0.96;0.795;0.69;1.35;1.6275;1.725;2.0475;1.1925;1.665;1.2375;1.26;2.205;2.52;1.9875;1.4175;1.4325;1.2525;1.245;1.1775;1.1925;1.065;2.25;2.2125;2.07;1.6725;1.8675;1.4475;0.8475;0.7575;0.825;2.7225;3.075;2.4525;2.16;2.025;1.98;2.67;2.205;2.3775;1.5075;0.8325;0.366
