produto;uf;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;CV
soja;go;1.232;1.232;1.133;1.144;1.298;1.463;1.353;1.243;1.254;1.243;1.232;1.232;1.221;1.155;1.078;0.946;1.012;1.034;1.045;0.99;1.012;1.045;1.089;1.111;1.089;1.133;1.199;1.254;1.287;1.188;1.254;1.309;1.386;1.353;1.32;1.276;1.21;1.232;1.243;1.21;1.188;1.232;1.199;1.254;0.094
milho;go;0.572;0.649;0.66;0.726;0.803;0.759;0.693;0.726;0.66;0.649;0.605;0.55;0.539;0.539;0.495;0.396;0.363;0.352;0.33;0.341;0.363;0.396;0.44;0.462;0.462;0.462;0.528;0.561;0.55;0.506;0.495;0.55;0.561;0.517;0.495;0.506;0.517;0.55;0.583;0.539;0.495;0.517;0.506;0.495;0.209
algodão;go;5.5;6.061;5.907;5.929;6.083;6.402;6.292;6.193;6.017;6.127;6.182;6.402;6.688;6.523;6.578;6.567;6.556;6.567;6.204;5.962;5.962;5.83;5.753;5.973;6.435;6.545;6.754;7.359;8.085;8.767;8.162;7.777;7.612;7.48;7.183;7.117;7.095;7.051;7.04;7.15;7.051;6.886;6.545;6.193;0.106
feijão;go;3.784;3.85;3.696;4.235;5.071;9.086;6.919;6.523;5.742;3.96;3.344;3.069;2.552;2.211;2.706;2.464;3.531;3.861;2.343;1.892;2.002;1.859;1.628;1.573;1.771;1.793;1.672;1.947;1.958;1.76;1.749;1.782;1.848;1.76;2.2;2.717;4.07;6.072;5.456;4.169;2.816;2.893;2.574;2.673;0.524
batata inglesa;df;1.716;1.232;1.188;1.826;2.299;2.178;1.771;1.76;1.243;1.254;1.232;1.1;0.605;0.671;0.737;0.869;1.045;0.968;0.968;1.122;0.77;1.672;1.386;1.408;1.529;1.342;1.21;1.133;1.353;1.386;0.979;0.781;0.979;1.221;1.584;2.068;2.013;3.058;3.102;3.399;3.058;2.981;2.783;2.233;0.466
alho;go;12.925;15.675;16.5;16.5;16.5;16.5;17.875;17.424;17.38;15.4;12.65;12.65;12.65;11.825;11.55;12.529;14.3;14.3;14.454;14.652;8.965;8.745;8.888;8.58;7.997;8.096;8.723;8.745;9.163;10.285;10.615;8.47;8.558;8.151;8.25;8.668;8.877;9.823;9.405;10.043;11.22;12.793;13.2;13.706;0.264
cebola;df;3.102;2.816;2.541;2.332;2.882;1.815;1.166;0.924;0.869;0.803;1.166;1.32;1.276;1.144;1.155;1.452;1.562;1.122;1.298;1.551;1.298;1.309;1.364;1.155;1.562;2.134;2.057;2.64;3.465;2.552;1.32;1.089;1.067;0.979;1.298;1.584;1.936;1.826;1.991;2.112;2.178;2.024;2.706;3.157;0.399
tomate;df;2.332;2.024;1.815;1.408;1.166;1.012;1.98;2.387;2.53;3.003;1.749;2.442;1.815;1.848;3.234;3.696;2.915;2.079;2.101;1.837;1.826;1.727;1.749;1.562;3.3;3.245;3.036;2.453;2.739;2.123;1.243;1.111;1.21;3.993;4.51;3.597;3.168;2.97;2.904;3.916;3.234;3.487;2.211;1.221;0.366
