produto;uf;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;CV
soja;go;1.4;1.4;1.2875;1.3;1.475;1.6625;1.5375;1.4125;1.425;1.4125;1.4;1.4;1.3875;1.3125;1.225;1.075;1.15;1.175;1.1875;1.125;1.15;1.1875;1.2375;1.2625;1.2375;1.2875;1.3625;1.425;1.4625;1.35;1.425;1.4875;1.575;1.5375;1.5;1.45;1.375;1.4;1.4125;1.375;1.35;1.4;1.3625;1.425;0.094
milho;go;0.65;0.7375;0.75;0.825;0.9125;0.8625;0.7875;0.825;0.75;0.7375;0.6875;0.625;0.6125;0.6125;0.5625;0.45;0.4125;0.4;0.375;0.3875;0.4125;0.45;0.5;0.525;0.525;0.525;0.6;0.6375;0.625;0.575;0.5625;0.625;0.6375;0.5875;0.5625;0.575;0.5875;0.625;0.6625;0.6125;0.5625;0.5875;0.575;0.5625;0.209
algodão;go;6.25;6.8875;6.7125;6.7375;6.9125;7.275;7.15;7.0375;6.8375;6.9625;7.025;7.275;7.6;7.4125;7.475;7.4625;7.45;7.4625;7.05;6.775;6.775;6.625;6.5375;6.7875;7.3125;7.4375;7.675;8.3625;9.1875;9.9625;9.275;8.8375;8.65;8.5;8.1625;8.0875;8.0625;8.0125;8;8.125;8.0125;7.825;7.4375;7.0375;0.106
feijão;go;4.3;4.375;4.2;4.8125;5.7625;10.325;7.8625;7.4125;6.525;4.5;3.8;3.4875;2.9;2.5125;3.075;2.8;4.0125;4.3875;2.6625;2.15;2.275;2.1125;1.85;1.7875;2.0125;2.0375;1.9;2.2125;2.225;2;1.9875;2.025;2.1;2;2.5;3.0875;4.625;6.9;6.2;4.7375;3.2;3.2875;2.925;3.0375;0.524
batata inglesa;df;1.95;1.4;1.35;2.075;2.6125;2.475;2.0125;2;1.4125;1.425;1.4;1.25;0.6875;0.7625;0.8375;0.9875;1.1875;1.1;1.1;1.275;0.875;1.9;1.575;1.6;1.7375;1.525;1.375;1.2875;1.5375;1.575;1.1125;0.8875;1.1125;1.3875;1.8;2.35;2.2875;3.475;3.525;3.8625;3.475;3.3875;3.1625;2.5375;0.466
alho;go;14.6875;17.8125;18.75;18.75;18.75;18.75;20.3125;19.8;19.75;17.5;14.375;14.375;14.375;13.4375;13.125;14.2375;16.25;16.25;16.425;16.65;10.1875;9.9375;10.1;9.75;9.0875;9.2;9.9125;9.9375;10.4125;11.6875;12.0625;9.625;9.725;9.2625;9.375;9.85;10.0875;11.1625;10.6875;11.4125;12.75;14.5375;15;15.575;0.264
cebola;df;3.525;3.2;2.8875;2.65;3.275;2.0625;1.325;1.05;0.9875;0.9125;1.325;1.5;1.45;1.3;1.3125;1.65;1.775;1.275;1.475;1.7625;1.475;1.4875;1.55;1.3125;1.775;2.425;2.3375;3;3.9375;2.9;1.5;1.2375;1.2125;1.1125;1.475;1.8;2.2;2.075;2.2625;2.4;2.475;2.3;3.075;3.5875;0.399
tomate;df;2.65;2.3;2.0625;1.6;1.325;1.15;2.25;2.7125;2.875;3.4125;1.9875;2.775;2.0625;2.1;3.675;4.2;3.3125;2.3625;2.3875;2.0875;2.075;1.9625;1.9875;1.775;3.75;3.6875;3.45;2.7875;3.1125;2.4125;1.4125;1.2625;1.375;4.5375;5.125;4.0875;3.6;3.375;3.3;4.45;3.675;3.9625;2.5125;1.3875;0.366
